List configuration,Seconds,# Data,# Loop,# Data assignments,# Loop assignments,Total
Sorted N=500,0.05270374,124750,125250,1500,126750,378250
Sorted N=1000,0.21174468200000007,499500,500500,3000,503500,1506500
Sorted N=5000,5.5814667280000005,12497500,12502500,15000,12517500,37532500
Sorted N=10000,21.356481855000002,49995000,50005000,30000,50035000,150065000
Descending Sorted N=500,0.05223674100000153,124750,125250,1500,126750,378250
Descending Sorted N=1000,0.2087506709999971,499500,500500,3000,503500,1506500
Descending Sorted N=5000,5.309741332999998,12497500,12502500,15000,12517500,37532500
Descending Sorted N=10000,22.609354947,49995000,50005000,30000,50035000,150065000
Random N=500,0.05343545700000618,124750,125250,1500,126750,378250
Random N=1000,0.23409434499998838,499500,500500,3000,503500,1506500
Random N=5000,5.440667825999981,12497500,12502500,15000,12517500,37532500
Random N=10000,21.50098424800001,49995000,50005000,30000,50035000,150065000
